,point_idx,dist_around,center_left,center_bottom,center_right,random_up,random_right,random_bottom,center_up,random_left,dist_index_sort
0,0,23.022,0,3,3,27,4,5,4,14,76.0
1,0,16.0,0,3,3,4,2,28,4,0,46.0
2,0,26.476,0,3,3,10,1,2,4,10,85.0
3,0,7.81,0,3,3,10,4,2,4,10,17.0
4,0,24.597,0,3,3,26,7,6,4,4,83.0
5,0,24.083,0,3,3,22,15,10,4,0,81.0
6,0,28.071,0,3,3,1,5,0,4,13,92.0
7,0,14.318,0,3,3,18,2,5,4,12,38.0
8,0,5.0,0,3,3,4,8,8,4,10,6.0
9,0,16.553,0,3,3,11,14,21,4,0,52.0
10,0,6.403,0,3,3,0,8,12,4,10,13.0
11,0,8.062,0,3,3,11,3,21,4,11,19.0
12,0,5.657,0,3,3,8,3,24,4,11,11.0
13,0,18.358,0,3,3,0,8,12,4,0,63.0
14,0,23.087,0,3,3,6,3,6,4,2,77.0
15,0,22.847,0,3,3,5,5,7,4,0,75.0
16,0,7.211,0,3,3,3,5,4,4,4,15.0
17,0,21.26,0,3,3,20,13,12,4,1,70.0
18,0,14.142,0,3,3,18,1,14,4,17,36.0
19,0,16.553,0,3,3,11,14,21,4,0,52.0
20,0,15.811,0,3,3,2,3,19,4,2,44.0
21,0,17.464,0,3,3,21,3,11,4,11,56.0
22,0,28.792,0,3,3,25,6,1,4,0,96.0
23,0,10.77,0,3,3,14,3,18,4,11,24.0
24,0,12.042,0,3,3,3,1,29,4,3,27.0
25,0,5.099,0,3,3,9,0,23,4,14,7.0
26,0,3.0,0,3,3,7,3,0,4,0,4.0
27,0,5.385,0,3,3,9,1,15,4,13,9.0
28,0,24.597,0,3,3,26,7,6,4,4,83.0
29,0,22.361,0,3,3,26,0,6,4,11,72.0
30,0,11.402,0,3,3,7,14,25,4,4,26.0
31,0,19.235,0,3,3,23,0,9,4,18,67.0
32,0,17.029,0,3,3,4,3,17,4,2,54.0
33,0,1.0,0,3,3,3,3,4,4,0,1.0
34,0,16.125,0,3,3,20,1,12,4,17,47.0
35,0,14.866,0,3,3,14,1,18,4,4,41.0
36,0,13.601,0,3,3,17,3,15,4,11,34.0
37,0,5.099,0,3,3,9,0,23,4,14,7.0
38,0,30.887,0,3,3,31,11,1,4,0,99.0
39,0,13.342,0,3,3,17,0,15,4,18,33.0
40,0,16.125,0,3,3,6,2,26,4,0,47.0
41,0,12.042,0,3,3,3,1,29,4,3,27.0
42,0,18.028,0,3,3,22,2,10,4,16,60.0
43,0,17.493,0,3,3,13,5,19,4,0,57.0
44,0,3.606,0,3,3,6,0,26,4,18,5.0
45,0,23.854,0,3,3,13,9,8,4,2,80.0
46,0,21.378,0,3,3,25,0,7,4,11,71.0
47,0,16.279,0,3,3,15,2,17,4,3,49.0
48,0,7.28,0,3,3,11,1,21,4,17,16.0
49,0,14.036,0,3,3,3,0,29,4,1,35.0
50,0,12.042,0,3,3,16,0,16,4,14,27.0
51,0,23.345,0,3,3,27,0,5,4,11,78.0
52,0,23.707,0,3,3,25,7,7,4,4,79.0
53,0,14.765,0,3,3,0,12,21,4,2,40.0
54,0,19.026,0,3,3,23,2,9,4,16,66.0
55,0,28.178,0,3,3,18,9,3,4,2,93.0
56,0,19.647,0,3,3,3,4,9,4,10,68.0
57,0,16.401,0,3,3,3,3,18,4,2,51.0
58,0,7.81,0,3,3,10,4,2,4,10,17.0
59,0,14.866,0,3,3,9,0,17,4,0,41.0
60,0,17.117,0,3,3,21,1,11,4,17,55.0
61,0,15.62,0,3,3,14,2,18,4,3,43.0
62,0,16.279,0,3,3,7,2,25,4,0,49.0
63,0,0.0,0,3,3,4,3,3,4,0,0.0
64,0,24.515,0,3,3,8,1,4,4,10,82.0
65,0,15.811,0,3,3,9,1,23,4,0,44.0
66,0,2.236,0,3,3,3,5,21,4,13,2.0
67,0,29.12,0,3,3,12,11,0,4,1,97.0
68,0,12.166,0,3,3,2,15,30,4,3,31.0
69,0,18.358,0,3,3,0,8,12,4,0,63.0
70,0,26.833,0,3,3,28,8,4,4,3,86.0
71,0,12.042,0,3,3,6,8,0,4,0,27.0
72,0,17.804,0,3,3,18,1,14,4,4,58.0
73,0,8.246,0,3,3,2,11,0,4,1,20.0
74,0,26.926,0,3,3,27,10,5,4,1,87.0
75,0,21.0,0,3,3,0,3,7,4,0,69.0
76,0,13.153,0,3,3,17,1,15,4,17,32.0
77,0,28.231,0,3,3,30,7,2,4,4,95.0
78,0,18.868,0,3,3,14,9,12,4,0,65.0
79,0,27.893,0,3,3,11,3,1,4,2,91.0
80,0,6.708,0,3,3,1,9,1,4,4,14.0
81,0,22.804,0,3,3,22,13,10,4,1,74.0
82,0,22.472,0,3,3,5,4,7,4,1,73.0
83,0,17.804,0,3,3,15,4,17,4,1,58.0
84,0,9.22,0,3,3,2,12,0,4,0,21.0
85,0,30.871,0,3,3,21,16,0,4,2,98.0
86,0,9.487,0,3,3,13,0,19,4,18,22.0
87,0,27.731,0,3,3,29,8,3,4,3,90.0
88,0,6.325,0,3,3,2,9,0,4,4,12.0
89,0,5.385,0,3,3,6,8,6,4,10,9.0
90,0,18.028,0,3,3,13,0,13,4,0,60.0
91,0,2.236,0,3,3,3,5,21,4,13,2.0
92,0,11.045,0,3,3,5,0,27,4,4,25.0
93,0,28.178,0,3,3,18,9,3,4,2,93.0
94,0,27.203,0,3,3,10,4,2,4,1,88.0
95,0,18.028,0,3,3,14,5,18,4,0,60.0
96,0,9.487,0,3,3,1,12,1,4,0,22.0
97,0,14.318,0,3,3,18,0,14,4,18,38.0
98,0,27.514,0,3,3,10,5,2,4,0,89.0
99,0,14.142,0,3,3,2,17,30,4,1,36.0
100,1,12.042,11,12,3,12,8,0,20,10,54.0
101,1,10.63,11,12,3,13,2,19,20,3,43.0
102,1,23.324,11,12,3,0,19,32,20,0,98.0
103,1,17.029,11,12,3,3,6,20,20,12,84.0
104,1,2.828,11,12,3,18,1,6,20,13,0.0
