,dist_right,y,dist_around,dist_left,dist_up,dist_bottom,x
0,11,1,18.028,0,24,8,25
1,1,18,10.63,17,1,31,2
2,8,4,20.248,3,28,4,29
3,1,18,23.087,17,31,1,32
4,1,18,13.038,17,20,12,21
5,14,1,15.62,0,21,11,22
6,12,3,8.544,2,1,20,13
7,13,6,23.537,0,26,0,33
8,6,9,2.236,2,2,4,9
9,2,13,10.198,12,19,4,20
10,7,5,18.028,4,26,6,27
11,2,13,9.22,12,18,5,19
12,4,15,22.361,14,31,1,32
13,15,4,7.616,3,6,26,7
14,11,8,9.487,1,0,2,1
15,3,9,18.111,2,7,5,28
16,7,12,4.123,11,5,27,6
17,9,6,12.083,0,14,12,21
18,9,3,22.472,2,19,2,31
19,1,4,8.062,3,5,27,6
20,0,19,8.246,18,7,25,8
21,8,11,7.0,10,2,10,3
22,7,8,12.369,1,1,11,22
23,14,1,10.198,0,11,21,12
24,0,2,9.0,1,9,23,10
25,0,19,12.042,18,0,32,1
26,1,5,10.0,4,17,15,18
27,4,15,8.944,14,1,31,2
28,4,11,0.0,10,9,3,10
29,8,11,7.0,10,2,10,3
30,1,18,18.385,17,26,6,27
31,2,10,21.024,4,10,2,31
32,3,12,5.099,11,14,18,15
33,0,19,8.0,18,9,23,10
34,5,7,16.492,0,5,7,26
35,18,1,13.454,0,0,32,1
36,1,1,11.18,0,4,28,5
37,8,7,4.123,0,2,4,9
38,11,1,23.259,0,30,2,31
39,1,1,11.662,0,3,29,4
40,0,19,8.544,18,12,20,13
41,4,15,23.345,14,32,0,33
42,5,7,22.361,0,11,1,32
43,9,6,5.099,0,4,22,11
44,15,4,9.899,3,2,30,3
45,1,11,19.0,10,8,4,29
46,1,14,3.606,13,11,13,12
47,3,12,1.414,11,10,22,11
48,5,10,14.036,4,3,9,24
49,12,7,23.345,0,12,0,33
50,1,18,21.19,17,29,3,30
51,9,3,19.698,2,16,5,28
52,4,15,4.472,14,7,25,8
53,2,13,3.606,12,12,11,13
54,0,2,9.22,1,7,25,8
55,8,7,4.123,0,4,2,11
56,10,2,18.358,1,25,7,26
57,2,4,8.062,3,13,19,14
58,10,9,3.606,2,0,6,7
59,1,18,7.28,17,7,25,8
60,3,9,16.125,2,5,7,26
61,16,3,24.352,2,21,0,33
62,3,3,12.806,2,8,13,20
63,5,14,4.243,13,6,18,7
64,4,2,13.454,1,19,13,20
65,12,3,14.422,2,10,11,22
66,2,17,6.083,16,10,22,11
67,9,3,21.541,2,18,3,30
68,9,6,5.099,0,2,24,9
69,14,5,6.708,4,6,26,7
70,1,18,9.899,17,2,30,3
71,2,17,7.211,16,5,27,6
72,8,11,5.0,10,4,8,5
73,9,6,5.099,0,4,22,11
74,2,17,12.53,16,20,12,21
75,0,2,9.22,1,7,25,8
76,0,19,14.422,18,21,11,22
77,9,3,18.788,2,15,6,27
78,2,17,14.142,16,15,17,16
79,1,1,22.804,0,3,29,4
80,3,12,7.071,11,20,12,21
81,1,5,10.198,4,15,17,16
82,2,4,6.708,3,19,13,20
83,12,3,13.601,2,1,20,13
84,7,5,5.385,4,30,2,31
85,0,19,14.422,18,17,15,18
86,3,16,22.847,0,4,3,5
87,0,12,5.831,11,28,4,29
88,12,0,7.071,0,24,8,25
89,1,1,17.088,0,9,23,10
90,3,9,2.236,2,4,8,25
91,3,9,6.325,2,11,1,32
92,5,14,25.0,13,1,23,2
93,12,3,4.472,2,12,9,24
94,3,16,9.22,0,2,5,28
95,3,12,13.0,11,13,19,14
96,9,10,7.616,4,12,0,33
97,5,14,22.136,13,4,20,5
98,2,4,9.487,3,16,16,17
99,2,13,10.817,12,16,7,17
100,6,6,6.083,0,25,1,32
101,5,14,9.899,13,1,0,33
102,2,17,16.401,16,12,20,13
103,4,15,9.434,14,30,2,31
104,0,6,10.05,0,9,17,16
105,1,5,7.28,4,18,14,19
106,5,1,10.0,0,17,15,18
107,0,15,9.434,14,20,12,21
108,0,6,11.045,0,8,18,15
109,6,6,1.0,0,19,7,26
110,2,17,10.198,16,23,9,24
111,2,4,10.44,3,15,17,16
112,11,1,6.083,0,24,8,25
113,1,5,9.22,4,16,16,17
114,13,2,5.385,1,23,9,24
115,2,17,20.591,16,7,25,8
116,3,9,3.606,2,8,4,29
117,9,10,25.179,4,0,2,1
118,1,14,7.616,13,22,2,23
119,1,14,12.207,13,15,9,16
120,12,0,7.28,0,27,5,28
121,15,4,7.616,3,32,0,33
122,1,14,14.765,13,12,12,13
123,3,16,23.77,0,3,4,4
124,6,0,11.402,0,16,16,17
125,2,17,26.0,16,1,31,2
126,10,5,2.828,4,23,9,24
127,1,18,27.313,17,0,32,1
128,2,17,18.868,16,9,23,10
129,8,7,17.0,0,2,4,9
130,0,19,12.649,18,21,11,22
131,2,17,26.0,16,1,31,2
132,3,12,16.763,11,9,23,10
133,12,0,7.071,0,26,6,27
134,4,8,5.099,1,10,2,31
135,9,10,18.248,4,2,5,8
136,7,8,14.036,1,5,1,12
137,1,18,22.825,17,5,27,6
138,6,6,1.414,0,18,8,25
139,4,2,7.81,1,19,13,20
140,3,9,2.236,2,4,8,25
141,4,2,8.602,1,18,14,19
142,4,8,1.414,1,6,6,27
143,1,14,10.63,13,17,7,18
144,5,7,4.0,0,9,3,30
145,0,19,15.0,18,16,16,17
146,7,5,3.606,4,28,4,29
147,9,6,17.029,0,2,24,9
148,2,17,19.723,16,8,24,9
149,0,19,19.209,18,10,22,11
150,1,18,21.954,17,6,26,7
151,0,12,5.831,11,28,4,29
152,10,9,23.087,2,2,0,3
153,3,16,9.055,0,1,6,27
154,5,10,5.831,4,0,12,21
155,10,9,23.087,2,2,0,3
156,1,5,7.28,4,18,14,19
157,1,4,22.204,3,3,29,4
158,0,19,13.892,18,18,14,19
159,8,11,20.396,10,5,7,6
160,4,8,3.162,1,8,4,29
161,3,16,21.024,0,6,1,7
162,2,17,21.471,16,6,26,7
163,0,15,10.63,14,18,14,19
164,8,4,5.831,3,29,3,30
165,4,11,15.524,10,9,3,10
166,6,9,2.236,2,3,9,24
167,1,11,8.062,10,11,1,32
168,12,3,4.123,2,12,9,24
169,1,5,9.22,4,15,17,16
170,11,8,8.062,1,12,0,33
171,13,2,13.0,1,12,20,13
172,6,13,18.974,12,6,17,7
173,1,18,20.248,17,7,25,8
174,1,14,7.616,13,21,3,22
175,1,18,13.038,17,31,1,32
176,2,13,11.662,12,14,9,15
177,11,4,5.0,3,20,12,21
178,1,14,16.553,13,9,15,10
179,9,6,13.038,0,5,21,12
180,4,11,15.524,10,9,3,10
181,0,19,12.649,18,20,12,21
182,9,6,3.162,0,15,11,22
183,7,8,12.042,1,6,0,13
184,3,12,5.385,11,22,10,23
185,4,8,7.071,1,11,1,32
186,14,1,14.318,0,11,21,12
187,8,7,3.0,0,1,11,22
188,2,17,23.259,16,3,29,4
189,4,15,20.616,14,5,27,6
190,1,14,10.63,13,16,8,17
191,6,13,19.925,12,5,18,6
192,6,13,19.925,12,5,18,6
193,1,18,11.705,17,28,4,29
194,5,1,10.0,0,16,16,17
195,6,6,3.162,0,21,5,28
196,6,13,23.77,12,1,22,2
197,0,19,23.324,18,4,28,5
198,1,18,12.53,17,18,14,19
199,0,15,8.0,14,24,8,25
200,0,12,5.0,11,24,8,25
201,2,13,17.088,12,8,15,9
202,0,2,21.587,1,3,29,4
203,13,2,13.0,1,12,20,13
204,10,9,23.087,2,1,1,2
205,12,7,22.0,0,2,0,3
206,17,2,22.561,1,2,30,3
207,8,7,16.0,0,2,4,9
208,3,16,19.235,0,7,0,8
209,0,6,7.071,0,11,15,18
210,0,19,20.809,18,7,25,8
211,8,11,8.944,10,12,0,33
212,0,15,8.062,14,23,9,24
213,1,1,18.974,0,6,26,7
214,4,15,19.698,14,6,26,7
215,0,12,5.099,11,25,7,26
216,0,19,13.416,18,30,2,31
217,1,4,19.235,3,5,27,6
218,1,1,20.881,0,4,28,5
219,18,1,10.0,0,32,0,33
220,12,0,7.0,0,24,8,25
221,14,5,17.117,4,7,25,8
222,2,17,12.806,16,16,16,17
223,0,19,25.942,18,1,31,2
224,2,17,11.662,16,30,2,31
225,0,19,22.472,18,5,27,6
226,1,18,14.213,17,15,17,16
227,0,6,5.099,0,13,13,20
228,6,0,11.402,0,15,17,16
229,4,8,5.099,1,9,3,30
230,1,5,5.385,4,19,13,20
231,9,6,12.042,0,6,20,13
232,0,19,15.62,18,14,18,15
233,11,8,17.029,1,1,5,8
234,5,7,2.0,0,6,6,27
235,5,14,20.248,13,5,19,6
236,3,3,8.944,2,5,16,17
237,12,0,7.616,0,27,5,28
238,18,1,24.739,0,0,32,1
239,4,15,25.298,14,0,32,1
240,9,3,6.403,2,18,3,30
241,0,15,16.125,14,10,22,11
242,9,10,24.187,4,0,2,1
243,9,10,18.248,4,1,6,7
244,2,0,19.313,0,6,26,7
245,6,0,9.899,0,17,15,18
246,0,19,15.62,18,14,18,15
247,4,2,9.434,1,16,16,17
248,2,10,3.606,4,6,6,27
249,11,4,5.0,3,20,12,21
250,6,0,10.63,0,16,16,17
251,3,3,8.944,2,5,16,17
252,0,15,4.0,14,16,16,17
253,3,9,13.153,2,9,3,30
254,10,2,15.811,1,29,3,30
255,3,16,16.763,0,0,7,1
256,0,12,12.042,11,28,4,29
257,0,15,6.403,14,11,21,12
258,3,16,14.866,0,5,2,31
259,0,6,5.099,0,11,15,18
260,3,12,1.414,11,17,15,18
261,10,2,15.0,1,28,4,29
262,2,13,3.606,12,13,10,14
263,2,10,10.05,4,6,6,27
264,1,5,6.708,4,13,19,14
265,4,8,8.544,1,4,8,25
266,1,18,16.553,17,31,1,32
267,10,2,13.454,1,26,6,27
268,9,10,16.031,4,12,0,33
269,1,1,14.142,0,6,26,7
270,11,8,9.487,1,1,5,8
271,10,5,7.211,4,20,12,21
272,9,10,16.031,4,12,0,33
273,6,6,13.0,0,22,4,29
274,11,1,18.028,0,31,1,32
275,0,19,12.806,18,6,26,7
276,7,8,7.616,1,3,9,24
277,3,16,16.763,0,7,0,33
278,10,9,9.22,2,1,5,8
279,7,12,14.036,11,2,30,3
280,2,17,12.53,16,27,5,28
281,3,9,15.133,2,11,1,32
282,2,17,15.232,16,2,30,3
283,0,15,4.123,14,17,15,18
284,5,1,10.198,0,14,18,15
285,0,19,16.125,18,30,2,31
286,1,11,13.0,10,9,3,30
287,1,14,5.0,13,20,4,21
288,0,6,5.099,0,9,17,16
289,15,0,13.038,0,23,9,24
290,0,19,15.264,18,3,29,4
291,4,11,5.0,10,11,1,12
292,9,3,15.264,2,18,3,30
293,2,17,11.662,16,6,26,7
294,0,6,5.099,0,9,17,16
295,8,11,11.0,10,5,7,6
296,2,17,9.22,16,9,23,10
297,15,0,12.53,0,22,10,23
298,8,11,16.0,10,0,12,1
299,3,12,7.071,11,23,9,24
300,4,11,5.0,10,1,11,22
301,11,4,9.899,3,23,9,24
302,11,4,9.899,3,23,9,24
303,0,19,12.806,18,6,26,7
304,0,15,4.472,14,18,14,19
305,3,12,7.071,11,9,23,10
306,4,11,7.0,10,3,9,24
307,10,2,16.643,1,30,2,31
308,2,17,6.708,16,13,19,14
309,6,0,11.18,0,18,14,19
310,2,13,2.236,12,17,6,18
311,10,9,10.198,2,0,6,7
312,2,17,6.083,16,17,15,18
313,3,12,5.099,11,21,11,22
314,5,14,14.318,13,2,22,3
315,0,6,5.099,0,9,17,16
316,0,19,16.125,18,30,2,31
317,17,2,16.643,1,2,30,3
318,15,0,11.705,0,20,12,21
319,17,2,18.358,1,32,0,33
320,4,8,8.544,1,4,8,25
321,2,4,7.0,3,16,16,17
322,7,5,13.416,4,28,4,29
323,4,11,7.0,10,3,9,24
324,3,16,15.811,0,6,1,32
325,1,14,7.616,13,23,1,24
326,2,0,13.601,0,8,24,9
327,0,19,8.944,18,12,20,13
328,0,15,6.403,14,21,11,22
329,0,19,8.0,18,16,16,17
330,1,4,14.765,3,3,29,4
331,8,4,11.402,3,25,7,26
332,1,11,9.0,10,5,7,26
333,7,12,13.038,11,3,29,4
334,7,8,6.708,1,4,2,11
335,5,14,16.279,13,1,23,2
336,0,19,2.828,18,19,13,20
337,1,14,9.487,13,8,16,9
338,5,7,12.806,0,5,7,26
339,6,13,17.464,12,0,23,1
340,15,4,19.849,3,2,30,3
341,2,13,5.0,12,14,9,15
342,4,15,10.198,14,27,5,28
343,1,5,12.042,4,16,16,17
344,0,19,12.166,18,5,27,6
345,10,9,17.0,2,2,0,3
346,12,3,14.866,2,11,10,23
347,6,9,10.0,2,5,1,12
348,1,14,9.487,13,8,16,9
349,0,19,14.142,18,3,29,4
350,17,2,21.213,1,32,0,33
351,2,17,6.0,16,11,21,12
352,0,12,10.296,11,26,6,27
353,12,7,18.028,0,2,0,3
354,0,15,5.385,14,12,20,13
355,2,17,14.0,16,3,29,4
356,4,15,11.18,14,6,26,7
357,2,17,14.0,16,31,1,32
358,4,11,10.0,10,9,3,10
359,12,3,14.318,2,9,12,21
360,10,2,18.028,1,27,5,28
361,3,12,5.0,11,17,15,18
362,1,14,3.606,13,19,5,20
363,3,16,10.05,0,7,0,8
364,9,6,11.402,0,14,12,21
365,8,11,13.416,10,5,7,6
366,3,12,6.403,11,21,11,22
367,3,16,14.036,0,3,4,4
368,1,5,12.369,4,14,18,15
369,4,11,10.0,10,9,3,10
370,1,18,7.071,17,10,22,11
371,1,1,19.416,0,6,26,7
372,6,6,17.804,0,25,1,32
373,10,5,14.422,4,9,23,10
374,5,14,14.318,13,0,1,32
375,7,5,15.62,4,27,5,28
376,8,11,13.416,10,5,7,6
377,3,12,5.099,11,16,16,17
378,6,13,10.77,12,7,16,8
379,0,19,2.236,18,16,16,17
380,3,16,14.036,0,3,4,4
