,random_right,random_bottom,center_bottom,center_right,random_up,random_left,center_left,center_up
0,2,26,6,2,6,0,4,6
1,3,13,6,2,19,11,4,6
2,6,6,6,2,20,0,4,6
3,15,32,6,2,0,3,4,6
4,10,11,6,2,21,4,4,6
5,2,0,6,2,23,12,4,6
6,3,19,6,2,2,2,4,6
7,3,13,6,2,8,2,4,6
8,2,2,6,2,10,4,4,6
9,1,30,6,2,2,17,4,6
10,1,2,6,2,22,13,4,6
11,7,26,6,2,6,11,4,6
12,2,10,6,2,13,12,4,6
13,7,9,6,2,3,1,4,6
14,1,27,6,2,5,17,4,6
15,14,20,6,2,12,0,4,6
16,3,10,6,2,22,11,4,6
17,14,12,6,2,20,0,4,6
18,0,27,6,2,5,1,4,6
19,2,1,6,2,11,4,4,6
20,7,26,6,2,6,11,4,6
21,2,28,6,2,4,0,4,6
22,6,3,6,2,23,0,4,6
23,9,10,6,2,16,0,4,6
24,5,21,6,2,3,13,4,6
25,2,3,6,2,9,4,4,6
26,2,11,6,2,21,16,4,6
27,12,0,6,2,12,0,4,6
28,15,31,6,2,1,3,4,6
29,1,14,6,2,18,4,4,6
30,14,11,6,2,21,0,4,6
31,3,19,6,2,2,2,4,6
32,3,3,6,2,4,0,4,6
33,0,13,6,2,19,18,4,6
34,11,6,6,2,0,1,4,6
35,0,22,6,2,10,1,4,6
36,6,18,6,2,5,12,4,6
37,2,6,6,2,17,12,4,6
38,7,1,6,2,5,1,4,6
39,1,17,6,2,15,4,4,6
40,0,29,6,2,3,1,4,6
41,14,30,6,2,2,4,4,6
42,14,0,6,2,32,4,4,6
43,0,6,6,2,26,11,4,6
44,1,15,6,2,9,13,4,6
45,10,24,6,2,8,4,4,6
46,6,1,6,2,5,2,4,6
47,9,6,6,2,1,4,4,6
48,9,21,6,2,5,0,4,6
49,1,0,6,2,32,17,4,6
50,6,6,6,2,20,0,4,6
51,8,4,6,2,2,0,4,6
52,1,2,6,2,10,10,4,6
